nama,kalori,lemak,karbo,protein,lemak_jenuh,kolesterol_mg,sodium_mg,serat_g,gula_g,url,keyword
Daging Analog Irisan,140,1.0,12.0,21.0,3.67,0.0,163.0,17.7,4.2,https://www.fatsecret.co.id/kalori-gizi/proteina/daging-analog-irisan/1-porsi,Daging
"Nachos dengan Daging Sapi, Kacang-kacangan dan Keju",363,21.36,24.51,18.88,12.2,137.0,494.0,1.9,0.56,https://www.fatsecret.co.id/kalori-gizi/umum/nachos-dengan-daging-sapi-kacang-kacangan-dan-keju,Daging
Pizza dengan Daging dan Buah,248,8.96,31.06,10.74,4.3,21.0,462.0,1.6,3.06,https://www.fatsecret.co.id/kalori-gizi/umum/pizza-dengan-daging-dan-buah,Daging
Sosis Daging Sapi,42,3.78,0.52,1.44,1.5,7.0,146.0,0.0,0.33,https://www.fatsecret.co.id/kalori-gizi/umum/sosis-daging-sapi,Daging
"Enchilada dengan Daging Sapi, Kacang-kacangan dan Keju",383,19.07,38.46,16.95,0.0,0.0,0.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/enchilada-dengan-daging-sapi-kacang-kacangan-dan-keju,Daging
Daging Menjangan/Rusa yang Diawetkan,187,4.08,0.0,35.11,10.96,0.0,525.0,4.4,4.12,https://www.fatsecret.co.id/kalori-gizi/umum/daging-menjangan-rusa-yang-diawetkan,Daging
"Taco atau Tostada Salad dengan Daging Sapi, Keju dan Keripik Jagung",190,11.43,11.98,10.47,6.82,44.0,762.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/taco-atau-tostada-salad-dengan-daging-sapi-keju-dan-keripik-jagung,Daging
Potongan Daging Babi Panggang,240,13.8,0.0,27.09,6.17,90.0,384.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/potongan-daging-babi-panggang,Daging
Sup Mie Daging Sapi,83,3.07,8.98,4.83,0.66,14.0,868.0,0.0,1.06,https://www.fatsecret.co.id/kalori-gizi/umum/sup-mie-daging-sapi,Daging
Daging Menjangan/Rusa,190,3.93,0.0,36.08,10.96,0.0,525.0,4.4,4.12,https://www.fatsecret.co.id/kalori-gizi/umum/daging-menjangan-rusa,Daging
"Daging Sapi Top Sirloin (Hanya Bagian yang tanpa Lemak, Diiris Hingga 0.3 cm Lemak, Kualitas Tinggi)",131,4.08,0.0,22.09,7.73,87.0,384.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-sapi-top-sirloin-(hanya-bagian-yang-tanpa-lemak-diiris-hingga-03-cm-lemak-kualitas-tinggi),Daging
Daging Ayam (Panggang),111,2.7,0.0,20.33,0.67,65.0,75.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-ayam-(panggang),Daging
Daging Punggung Sapi (Hanya Bagian tanpa Lemak yang Dimakan),230,11.53,0.0,29.63,10.2,93.0,225.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-punggung-sapi-(hanya-bagian-tanpa-lemak-yang-dimakan),Daging
Calzone dengan Daging dan Keju,348,18.12,30.9,14.62,4.3,21.0,462.0,1.6,3.06,https://www.fatsecret.co.id/kalori-gizi/umum/calzone-dengan-daging-dan-keju,Daging
"Taco atau Tostada dengan Daging Sapi, Selada, Tomat dan Salsa",144,7.77,10.97,7.82,2.38,28.0,202.0,1.4,0.98,https://www.fatsecret.co.id/kalori-gizi/umum/taco-atau-tostada-dengan-daging-sapi-selada-tomat-dan-salsa,Daging
Steak Daging Sapi (Hanya Bagian yang tidak Berlemak yang Dimakan),187,6.63,0.0,29.81,7.73,87.0,384.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/steak-daging-sapi-(hanya-bagian-yang-tidak-berlemak-yang-dimakan),Daging
Daging Sapi Bologna,88,7.89,1.11,2.88,7.73,87.0,384.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-sapi-bologna,Daging
Daging Kambing,109,2.31,0.0,20.6,10.96,0.0,525.0,4.4,4.12,https://www.fatsecret.co.id/kalori-gizi/umum/daging-kambing,Daging
Daging Babi Panggang,247,14.59,0.0,26.98,5.35,82.0,221.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-babi-panggang,Daging
Daging Kerbau,84,0.8,0.0,18.02,7.73,87.0,384.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-kerbau,Daging
Sosis tanpa Daging,64,4.54,2.46,4.63,1.5,7.0,146.0,0.0,0.33,https://www.fatsecret.co.id/kalori-gizi/umum/sosis-tanpa-daging,Daging
Telur Gulung tanpa Daging,100,5.8,9.73,2.6,1.23,30.0,271.0,0.8,0.99,https://www.fatsecret.co.id/kalori-gizi/umum/telur-gulung-tanpa-daging,Daging
Daging Ayam Luncheon,90,6.0,4.0,4.0,3.76,87.0,404.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/pronas/daging-ayam-luncheon/1-porsi,Daging
Daging Babi Cincang,180,10.3,4.2,16.5,0.0,0.0,0.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-babi-cincang,Daging
Lasagna dengan Daging,163,6.01,17.2,9.96,0.18,0.0,232.0,1.8,0.56,https://www.fatsecret.co.id/kalori-gizi/umum/lasagna-dengan-daging,Daging
Potongan Daging Domba (Daging dan Lemak Dimakan),314,24.37,0.0,22.03,7.67,68.0,281.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/potongan-daging-domba-(daging-dan-lemak-dimakan),Daging
Daging Babi,271,17.04,0.0,27.34,6.17,90.0,384.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-babi,Daging
Lasagna dengan Daging dan Bayam,353,12.92,37.49,21.88,0.18,0.0,232.0,1.8,0.56,https://www.fatsecret.co.id/kalori-gizi/umum/lasagna-dengan-daging-dan-bayam,Daging
Roasted Seaweed Daging Sapi,25,1.5,1.0,1.0,0.07,0.0,71.0,0.6,0.4,https://www.fatsecret.co.id/kalori-gizi/alfamart/roasted-seaweed-daging-sapi/1-porsi,Daging
Lasagna tanpa Daging,147,4.45,19.18,7.76,0.18,0.0,232.0,1.8,0.56,https://www.fatsecret.co.id/kalori-gizi/umum/lasagna-tanpa-daging,Daging
Babi Panggang (Hanya Daging yang Dimakan),208,9.57,0.0,28.45,5.35,82.0,221.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/babi-panggang-(hanya-daging-yang-dimakan),Daging
Lasagna tanpa Daging dengan Sayuran,330,9.78,44.03,17.61,0.18,0.0,232.0,1.8,0.56,https://www.fatsecret.co.id/kalori-gizi/umum/lasagna-tanpa-daging-dengan-sayuran,Daging
Daging Analog LS,180,0.5,16.0,27.0,0.16,0.0,2.0,2.7,0.27,https://www.fatsecret.co.id/kalori-gizi/proteina/daging-analog-ls/1-porsi,Daging
Daging Babi Giling (Dimasak),297,20.77,0.0,25.69,7.87,72.0,56.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-babi-giling-(dimasak),Daging
Ravioli Isi Daging,306,11.89,27.78,20.13,0.18,0.0,232.0,1.8,0.56,https://www.fatsecret.co.id/kalori-gizi/umum/ravioli-isi-daging,Daging
Soto Daging,20,0.5,2.0,1.0,0.0,0.0,2325.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/bamboe/soto-daging/1-porsi,Daging
Daging Kelapa Muda,68,0.9,14.0,1.0,29.7,0.0,20.0,9.0,6.23,https://www.fatsecret.co.id/kalori-gizi/alfamart/daging-kelapa-muda/100g,Daging
"Daging Babi (Pinggang Bagian Atas, tanpa Tulang, Daging Saja)",117,2.3,0.0,22.42,6.17,90.0,384.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-babi-(pinggang-bagian-atas-tanpa-tulang-daging-saja),Daging
Daging Menjangan/Rusa Panggang,190,3.93,0.0,36.08,10.96,0.0,525.0,4.4,4.12,https://www.fatsecret.co.id/kalori-gizi/umum/daging-menjangan-rusa-panggang,Daging
Enchilada dengan Daging Sapi dan Keju,202,11.37,15.78,10.02,0.0,0.0,0.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/enchilada-dengan-daging-sapi-dan-keju,Daging
Daging Analog Potongan,110,0.5,9.0,16.0,0.0,0.0,0.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/proteina/daging-analog-potongan/1-sajian,Daging
Daging Sapi Muda,229,11.3,0.0,29.85,0.0,0.0,0.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-sapi-muda,Daging
Daging Sapi Top Loin (Diiris Hingga 0.3 cm Lemak),228,15.49,0.0,20.61,7.73,87.0,384.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-sapi-top-loin-(diiris-hingga-03-cm-lemak),Daging
Kornet Daging Ayam,70,3.5,5.0,5.0,1.33,21.0,238.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/pronas/kornet-daging-ayam/1-porsi,Daging
Daging Babi Asap,27,2.09,0.07,1.85,0.69,6.0,116.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-babi-asap,Daging
Mie Spageti Gandum dengan Saus Daging,350,13.04,42.26,17.46,0.18,0.0,232.0,1.8,0.56,https://www.fatsecret.co.id/kalori-gizi/umum/mie-spageti-gandum-dengan-saus-daging,Daging
